Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157),2/49,0.0064255716310063,0.1234000452051159,0,0,18.0208239022182,90.95956229745056,JAML;SELL
GO_Biological_Process_2023,Receptor Internalization (GO:0031623),2/51,0.0069448554030986,0.1234000452051159,0,0,17.283543204515848,85.89496010554357,CXCR1;CXCR2
GO_Biological_Process_2023,Negative Regulation Of MAP Kinase Activity (GO:0043407),2/51,0.0069448554030986,0.1234000452051159,0,0,17.283543204515848,85.89496010554357,RGS2;DUSP1
GO_Biological_Process_2023,Regulation Of Mitotic Nuclear Division (GO:0007088),2/56,0.0083233296160711,0.1234000452051159,0,0,15.679275019700553,75.08323312024795,EDN3;DUSP1
GO_Biological_Process_2023,B Cell Chemotaxis (GO:0035754),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,CXCL13
GO_Biological_Process_2023,Regulation Of Establishment Of T Cell Polarity (GO:1903903),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,RIPOR2
GO_Biological_Process_2023,Negative Regulation Of Meiotic Cell Cycle (GO:0051447),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,DUSP1
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,DUSP1
GO_Biological_Process_2023,Regulation Of Mitotic Spindle Checkpoint (GO:1903504),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,DUSP1
GO_Biological_Process_2023,Positive Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033634),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,CXCL13
GO_Biological_Process_2023,Regulation Of Neutrophil Extravasation (GO:2000389),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,RIPOR2
GO_Biological_Process_2023,Neutrophil Extravasation (GO:0072672),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,JAML
GO_Biological_Process_2023,Leukocyte Apoptotic Process (GO:0071887),1/5,0.0121912198306986,0.1234000452051159,0,0,103.890625,457.8500644039375,HCAR2
GO_Biological_Process_2023,Positive Regulation Of Necrotic Cell Death (GO:0010940),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,ATG9B
GO_Biological_Process_2023,Negative Regulation Of p38MAPK Cascade (GO:1903753),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,DUSP1
GO_Biological_Process_2023,Vascular Associated Smooth Muscle Contraction (GO:0014829),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,EDN3
GO_Biological_Process_2023,Regulation Of Adiponectin Secretion (GO:0070163),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,HCAR2
GO_Biological_Process_2023,Positive Regulation Of Striated Muscle Contraction (GO:0045989),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,RGS2
GO_Biological_Process_2023,Neuron Projection Extension Involved In Neuron Projection Guidance (GO:1902284),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,NELL2
GO_Biological_Process_2023,Axon Extension Involved In Axon Guidance (GO:0048846),1/6,0.0146119438121658,0.1234000452051159,0,0,83.10833333333333,351.20883684468544,NELL2
GO_Biological_Process_2023,Regulation Of Immune Response (GO:0050776),2/77,0.0153073111208604,0.1234000452051159,0,0,11.277163120567376,47.1320542463176,FCGR3B;CXCL13
GO_Biological_Process_2023,Negative Regulation Of Protein Serine/Threonine Kinase Activity (GO:0071901),2/80,0.016454852707331,0.1234000452051159,0,0,10.841789416257502,44.5286911247554,RGS2;DUSP1
GO_Biological_Process_2023,Negative Regulation Of Lipid Kinase Activity (GO:0090219),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,PIK3IP1
GO_Biological_Process_2023,Negative Regulation Of Muscle Hypertrophy (GO:0014741),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,RGS2
GO_Biological_Process_2023,Positive Regulation Of Myeloid Cell Apoptotic Process (GO:0033034),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,HCAR2
GO_Biological_Process_2023,Negative Regulation Of Phospholipase Activity (GO:0010519),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,RGS2
GO_Biological_Process_2023,Negative Regulation Of T Cell Apoptotic Process (GO:0070233),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,TSC22D3
GO_Biological_Process_2023,Late Nucleophagy (GO:0044805),1/7,0.0170268574512903,0.1234000452051159,0,0,69.25347222222223,282.06685294018627,ATG9B
GO_Biological_Process_2023,Epidermis Development (GO:0008544),2/85,0.0184465262705792,0.1234000452051159,0,0,10.186106126634195,40.67189132521442,KRT15;SPRR1A
GO_Biological_Process_2023,Sympathetic Ganglion Development (GO:0061549),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,NELL2
GO_Biological_Process_2023,Negative Regulation Of Lipase Activity (GO:0060192),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,RGS2
GO_Biological_Process_2023,Modification-Dependent Macromolecule Catabolic Process (GO:0043632),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,RPS27AP5
GO_Biological_Process_2023,"Complement Activation, Lectin Pathway (GO:0001867)",1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,KRT1
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Segregation (GO:0033047),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,DUSP1
GO_Biological_Process_2023,Response To Vitamin (GO:0033273),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,CDKN2D
GO_Biological_Process_2023,Response To Vitamin D (GO:0033280),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,CDKN2D
GO_Biological_Process_2023,Regulation Of Necrotic Cell Death (GO:0010939),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,ATG9B
GO_Biological_Process_2023,Positive Regulation Of Epithelial Cell Proliferation Involved In Wound Healing (GO:0060054),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,JAML
GO_Biological_Process_2023,Endothelial Cell Chemotaxis (GO:0035767),1/8,0.0194359741846122,0.1234000452051159,0,0,59.35714285714285,233.9045135601692,CXCL13
GO_Biological_Process_2023,Inflammatory Response (GO:0006954),3/236,0.0200653948896408,0.1234000452051159,0,0,5.5191267027430495,21.572933935890795,CXCR2;PROK2;CXCL13
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Apoptotic Process (GO:2000108),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,HCAR2
GO_Biological_Process_2023,Positive Regulation Of Myoblast Fusion (GO:1901741),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,RIPOR2
GO_Biological_Process_2023,Negative Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014067),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,PIK3IP1
GO_Biological_Process_2023,Vasoconstriction (GO:0042310),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,EDN3
GO_Biological_Process_2023,Positive Regulation Of Smooth Muscle Contraction (GO:0045987),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,PROK2
GO_Biological_Process_2023,Regulation Of Cell-Cell Adhesion Mediated By Integrin (GO:0033632),1/9,0.0218393074841168,0.1234000452051159,0,0,51.934895833333336,198.60131834764672,CXCL13
GO_Biological_Process_2023,Positive Regulation Of Integrin Activation (GO:0033625),1/10,0.0242368708211977,0.1234000452051159,0,0,46.16203703703704,171.71724838044534,CXCL13
GO_Biological_Process_2023,Negative Regulation Of Lymphocyte Migration (GO:2000402),1/10,0.0242368708211977,0.1234000452051159,0,0,46.16203703703704,171.71724838044534,RIPOR2
GO_Biological_Process_2023,Negative Regulation Of B Cell Proliferation (GO:0030889),1/10,0.0242368708211977,0.1234000452051159,0,0,46.16203703703704,171.71724838044534,MNDA
GO_Biological_Process_2023,Regulation Of Mitotic Sister Chromatid Separation (GO:0010965),1/10,0.0242368708211977,0.1234000452051159,0,0,46.16203703703704,171.71724838044534,DUSP1
GO_Biological_Process_2023,Regulation Of Phospholipase Activity (GO:0010517),1/10,0.0242368708211977,0.1234000452051159,0,0,46.16203703703704,171.71724838044534,RGS2
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Chemotaxis (GO:0002689),1/11,0.0266286776759158,0.1234000452051159,0,0,41.54375,150.62793852241148,DUSP1
GO_Biological_Process_2023,Phasic Smooth Muscle Contraction (GO:0014821),1/11,0.0266286776759158,0.1234000452051159,0,0,41.54375,150.62793852241148,EDN3
GO_Biological_Process_2023,Ganglion Development (GO:0061548),1/11,0.0266286776759158,0.1234000452051159,0,0,41.54375,150.62793852241148,NELL2
GO_Biological_Process_2023,Positive Regulation Of Muscle Contraction (GO:0045933),1/11,0.0266286776759158,0.1234000452051159,0,0,41.54375,150.62793852241148,PROK2
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),2/105,0.0273542709107046,0.1234000452051159,0,0,8.199958686221855,29.510688675044072,RGS2;DUSP1
GO_Biological_Process_2023,Protein Heterotetramerization (GO:0051290),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,KRT1
GO_Biological_Process_2023,Fibrinolysis (GO:0042730),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,KRT1
GO_Biological_Process_2023,Gamma-Delta T Cell Activation (GO:0046629),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,JAML
GO_Biological_Process_2023,Negative Regulation Of Mononuclear Cell Migration (GO:0071676),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,DUSP1
GO_Biological_Process_2023,Granulocyte Activation (GO:0036230),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,CXCR2
GO_Biological_Process_2023,Positive Regulation Of T Cell Chemotaxis (GO:0010820),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,CXCL13
GO_Biological_Process_2023,Relaxation Of Cardiac Muscle (GO:0055119),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,RGS2
GO_Biological_Process_2023,Positive Regulation Of Protein Localization To Cell Surface (GO:2000010),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,RIC3
GO_Biological_Process_2023,Positive Regulation Of Calcium-Mediated Signaling (GO:0050850),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,TRAT1
GO_Biological_Process_2023,Positive Regulation Of Cellular Extravasation (GO:0002693),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,RIPOR2
GO_Biological_Process_2023,Negative Regulation Of Cardiac Muscle Hypertrophy (GO:0010614),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,RGS2
GO_Biological_Process_2023,Semaphorin-Plexin Signaling Pathway Involved In Neuron Projection Guidance (GO:1902285),1/12,0.0290147415071519,0.1234000452051159,0,0,37.76515151515152,133.68679532449664,NELL2
GO_Biological_Process_2023,Protein Localization To Phagophore Assembly Site (GO:0034497),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,ATG9B
GO_Biological_Process_2023,Regulation Of Humoral Immune Response (GO:0002920),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,CXCL13
GO_Biological_Process_2023,Relaxation Of Muscle (GO:0090075),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,RGS2
GO_Biological_Process_2023,Positive Regulation Of T Cell Receptor Signaling Pathway (GO:0050862),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,TRAT1
GO_Biological_Process_2023,Regulation Of T Cell Chemotaxis (GO:0010819),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,CXCL13
GO_Biological_Process_2023,Regulation Of Myoblast Fusion (GO:1901739),1/13,0.0313950757631915,0.1245220420719846,0,0,34.61631944444444,119.81068935137382,RIPOR2
