Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Response To Organophosphorus (GO:0046683),4/18,0.0025546384826871,0.028183166269875,0,0,8.351415604063108,49.85665300715098,P2RX7;STAT1;TLR7;DUOX2
GO_Biological_Process_2023,Negative Regulation Of Lipid Storage (GO:0010888),4/18,0.0025546384826871,0.028183166269875,0,0,8.351415604063108,49.85665300715098,NR1H3;TREM2;PPARG;ABCG1
GO_Biological_Process_2023,Peptide Antigen Assembly With MHC Protein Complex (GO:0002501),4/18,0.0025546384826871,0.028183166269875,0,0,8.351415604063108,49.85665300715098,HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Positive Regulation Of Cytokine Production Involved In Inflammatory Response (GO:1900017),4/18,0.0025546384826871,0.028183166269875,0,0,8.351415604063108,49.85665300715098,GBP5;CLEC7A;NOD2;TLR4
GO_Biological_Process_2023,Regulation Of Adaptive Immune Response (GO:0002819),4/18,0.0025546384826871,0.028183166269875,0,0,8.351415604063108,49.85665300715098,IL4I1;TNFSF4;ALOX15;FCGR2B
GO_Biological_Process_2023,Negative Regulation Of Protein Kinase Activity (GO:0006469),9/88,0.002594267150632,0.028183166269875,0,0,3.344087681383143,19.912206942374063,CEACAM1;DUSP10;PTPRO;EPHB2;TRIB1;LILRB4;SLC8A1;WARS1;CORO1C
GO_Biological_Process_2023,Regulation Of Neuron Apoptotic Process (GO:0043523),10/105,0.002610512033433,0.028183166269875,0,0,3.092004821213339,18.39189058245956,EGLN3;EGLN2;SIX4;PTPRZ1;KIF14;CCL3;TREM2;APOE;FCGR2B;LGMN
GO_Biological_Process_2023,Negative Regulation Of MAPK Cascade (GO:0043409),10/105,0.002610512033433,0.028183166269875,0,0,3.092004821213339,18.39189058245956,P2RX7;DUSP5;DUSP10;PSCA;PPARG;APOE;EPHB2;TLR4;GBP1;LILRB4
GO_Biological_Process_2023,Second-Messenger-Mediated Signaling (GO:0019932),8/72,0.0026329725765626,0.028183166269875,0,0,3.666476407914764,21.777556581776928,FCGR3A;EDN1;CXCL8;MCTP1;EDN2;CCL3;CD36;APOE
GO_Biological_Process_2023,I-kappaB Phosphorylation (GO:0007252),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,TLR7;TLR4;TLR2
GO_Biological_Process_2023,T-helper 1 Type Immune Response (GO:0042088),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,TLR4;HLA-DRB1;IL18BP
GO_Biological_Process_2023,Regulation Of Leukocyte Mediated Cytotoxicity (GO:0001910),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,NCR1;PIK3R6;ICAM1
GO_Biological_Process_2023,Regulation Of Memory T Cell Differentiation (GO:0043380),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,TNFSF4;HLA-DRA;HLA-DRB1
GO_Biological_Process_2023,Response To Type I Interferon (GO:0034340),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,MX1;ISG15;IFIT1
GO_Biological_Process_2023,Vasoconstriction (GO:0042310),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,EDN1;EDN2;SLC8A1
GO_Biological_Process_2023,Myeloid Dendritic Cell Differentiation (GO:0043011),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,BATF2;DCSTAMP;UBD
GO_Biological_Process_2023,Negative Regulation Of Leukocyte Migration (GO:0002686),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,SLAMF8;HMOX1;HOXA7
GO_Biological_Process_2023,Positive Regulation Of T Cell Apoptotic Process (GO:0070234),3/9,0.0026455275577194,0.028183166269875,0,0,14.59894259818731,86.6430422132278,CD274;LGALS9;IDO1
GO_Biological_Process_2023,Positive Regulation Of Defense Response (GO:0031349),11/124,0.0028601268060695,0.0300392773103812,0,0,2.861113366350031,16.75722431109337,GBP5;CEBPA;AIM2;TNFSF4;CCL3;TLR8;TLR7;NLRC4;PLA2G7;TLR4;TLR2
GO_Biological_Process_2023,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),5/30,0.002861379030258,0.0300392773103812,0,0,5.851515151515152,34.269115224405446,MSR1;NR1H3;PPARG;CD36;ABCG1
GO_Biological_Process_2023,Regulation Of Vasculature Development (GO:1901342),5/30,0.002861379030258,0.0300392773103812,0,0,5.851515151515152,34.269115224405446,GPNMB;HMOX1;CXCL13;WARS1;EPHA2
GO_Biological_Process_2023,"Phagocytosis, Engulfment (GO:0006911)",5/30,0.002861379030258,0.0300392773103812,0,0,5.851515151515152,34.269115224405446,MSR1;MARCO;ITGAM;CD36;FCGR2B
GO_Biological_Process_2023,Regulation Of Neuron Death (GO:1901214),7/58,0.0030049356214314,0.0313185889497201,0,0,4.022528160200251,23.360828811040868,C1QA;EGLN3;ITGAM;EGLN2;GPNMB;KIF14;SNCG
GO_Biological_Process_2023,Regulation Of Bone Mineralization (GO:0030500),7/58,0.0030049356214314,0.0313185889497201,0,0,4.022528160200251,23.360828811040868,CCR1;P2RX7;CYP27B1;ECM1;CCL3;ISG15;SLC8A1
GO_Biological_Process_2023,Organic Substance Transport (GO:0071702),15/201,0.0030425083775316,0.0315961211724238,0,0,2.3758064516129034,13.767971772510297,CCR1;RYR1;SPNS2;TAP1;ABCA12;ABCA13;CYP27B1;CCL8;GM2A;SLCO2B1;CDH23;CCL3;ABCD1;SLC29A3;APOL2
GO_Biological_Process_2023,Regulation Of Granulocyte Chemotaxis (GO:0071622),4/19,0.0031516650651339,0.03226545050724,0,0,7.794251134644478,44.893517660018766,MPP1;CSF1R;CXCL17;CMKLR1
GO_Biological_Process_2023,Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381),4/19,0.0031516650651339,0.03226545050724,0,0,7.794251134644478,44.893517660018766,HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Positive Regulation Of Alpha-Beta T Cell Activation (GO:0046635),4/19,0.0031516650651339,0.03226545050724,0,0,7.794251134644478,44.893517660018766,SYK;TNFSF4;HLA-DRA;HLA-DRB1
GO_Biological_Process_2023,Regulation Of B Cell Differentiation (GO:0045577),4/19,0.0031516650651339,0.03226545050724,0,0,7.794251134644478,44.893517660018766,IL4I1;SYK;FCRL3;SLAMF8
GO_Biological_Process_2023,Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039),6/44,0.0031798450797453,0.0324389142940804,0,0,4.623512499001677,26.589463448618737,NR4A3;HAS2;HLA-DRA;HLA-DOA;HLA-DQA1;HLA-DRB1
GO_Biological_Process_2023,Lipid Transport (GO:0006869),10/108,0.0032079317977021,0.0326102080984718,0,0,2.996884249883159,17.208495509182324,CEACAM1;FABP3;GM2A;SLCO2B1;SPNS2;APOE;CD36;ABCA12;ABCA13;APOL2
GO_Biological_Process_2023,Regulation Of Long-Term Synaptic Potentiation (GO:1900271),5/31,0.0033197368162686,0.0333940076256714,0,0,5.626165501165501,32.11341999301957,AKAP5;APOE;LILRB2;EPHB2;LGMN
GO_Biological_Process_2023,Toll-Like Receptor Signaling Pathway (GO:0002224),5/31,0.0033197368162686,0.0333940076256714,0,0,5.626165501165501,32.11341999301957,IRAK2;TLR8;TLR7;TLR4;TLR2
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),5/31,0.0033197368162686,0.0333940076256714,0,0,5.626165501165501,32.11341999301957,NR1H3;TREM2;PPARG;APOE;ABCA13
GO_Biological_Process_2023,I-kappaB kinase/NF-kappaB Signaling (GO:0007249),6/45,0.0035678750471109,0.0357654696562827,0,0,4.504727442511965,25.3876757338782,IRAK2;RIPK2;TLR8;TLR7;TLR4;TLR2
GO_Biological_Process_2023,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156),7/60,0.0036461604338367,0.0360771534305187,0,0,3.870333199518266,21.728362534805456,CEACAM1;CADM4;CEACAM6;CEACAM5;HMCN2;DSG2;NECTIN4
GO_Biological_Process_2023,T Cell Chemotaxis (GO:0010818),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,CXCL10;CXCL11;CCL3
GO_Biological_Process_2023,Regulation Of Mitochondrial Depolarization (GO:0051900),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,MLLT11;SRC;IFI6
GO_Biological_Process_2023,Aromatic Amino Acid Family Catabolic Process (GO:0009074),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,IL4I1;KMO;IDO1
GO_Biological_Process_2023,Negative Regulation Of B Cell Proliferation (GO:0030889),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,IL10;CTLA4;FCGR2B
GO_Biological_Process_2023,Negative Regulation Of Natural Killer Cell Mediated Immunity (GO:0002716),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,LILRB1;LGALS9;KIR2DL4
GO_Biological_Process_2023,Positive Regulation Of Nitric-Oxide Synthase Biosynthetic Process (GO:0051770),3/10,0.0036864427648088,0.0360771534305187,0,0,12.512731981009926,70.11000480598744,NOD2;TLR4;TLR2
GO_Biological_Process_2023,Negative Regulation Of Macromolecule Metabolic Process (GO:0010605),14/186,0.0038177422812933,0.0371743008132536,0,0,2.395973993498375,13.341013345699626,CCR1;MSR1;EDN1;CXCL8;LILRB2;NTS;PARP9;TRIM6;CCL3;PPARG;LGALS9;APOE;LGMN;HAVCR2
GO_Biological_Process_2023,Regulation Of Macrophage Chemotaxis (GO:0010758),4/20,0.0038371810330272,0.0371743008132536,0,0,7.306732223903177,40.64747768001472,CSF1R;CXCL17;SLAMF8;CMKLR1
GO_Biological_Process_2023,Negative Regulation Of B Cell Activation (GO:0050869),4/20,0.0038371810330272,0.0371743008132536,0,0,7.306732223903177,40.64747768001472,IL10;TNFAIP3;CTLA4;FCGR2B
GO_Biological_Process_2023,Positive Regulation Of Cell-Cell Adhesion (GO:0022409),6/46,0.0039899927510306,0.0385254484020915,0,0,4.391881638846738,24.260604255522544,FOXA1;IL10;CEACAM6;GCNT2;PLAUR;CXCL13
GO_Biological_Process_2023,Apoptotic Process (GO:0006915),16/228,0.0041273123217397,0.0397185022428758,0,0,2.2237985870860832,12.208940787125124,TBX1;EGLN3;RIPK2;MX1;IFI6;CEL;HK2;IFIT2;IL1A;BCL2L11;IL2RA;SCN2A;RELT;ZNF385A;TLR2;MCM2
